Happiness Score,Economy (GDP per Capita),Family,Freedom,Trust (Government Corruption),Health (Life Expectancy),Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe
7.587,1.39651,1.34951,0.66557,0.41978,0.94143,0,0,0,0,0,0,0,0,0,1
7.561,1.30232,1.40223,0.62877,0.14145,0.94784,0,0,0,0,0,0,0,0,0,1
7.527,1.32548,1.36058,0.64938,0.48357,0.87464,0,0,0,0,0,0,0,0,0,1
7.522,1.459,1.33095,0.66973,0.36503,0.88521,0,0,0,0,0,0,0,0,0,1
7.427,1.32629,1.32261,0.63297,0.32957,0.90563,0,0,0,0,0,1,0,0,0,0
7.406,1.29025,1.31826,0.64169,0.41372,0.88911,0,0,0,0,0,0,0,0,0,1
7.378,1.32944,1.28017,0.61576,0.31814,0.89284,0,0,0,0,0,0,0,0,0,1
7.364,1.33171,1.28907,0.6598,0.43844,0.91087,0,0,0,0,0,0,0,0,0,1
7.286,1.25018,1.31967,0.63938,0.42922,0.90837,1,0,0,0,0,0,0,0,0,0
7.284,1.33358,1.30923,0.65124,0.35637,0.93156,1,0,0,0,0,0,0,0,0,0
7.278,1.22857,1.22393,0.41319,0.07785,0.91387,0,0,0,0,1,0,0,0,0,0
7.226,0.95578,1.23788,0.63376,0.10583,0.86027,0,0,0,1,0,0,0,0,0,0
7.2,1.33723,1.29704,0.62433,0.18676,0.89042,0,0,0,0,0,0,0,0,0,1
7.187,1.02054,0.91451,0.48181,0.21312,0.81444,0,0,0,1,0,0,0,0,0,0
7.119,1.39451,1.24711,0.54604,0.1589,0.86179,0,0,0,0,0,1,0,0,0,0
6.983,0.98124,1.23287,0.49049,0.17521,0.69702,0,0,0,1,0,0,0,0,0,0
6.946,1.56391,1.21963,0.61583,0.37798,0.91894,0,0,0,0,0,0,0,0,0,1
6.94,1.33596,1.36948,0.61777,0.28703,0.89533,0,0,0,0,0,0,0,0,0,1
6.937,1.30782,1.28566,0.5845,0.2254,0.89667,0,0,0,0,0,0,0,0,0,1
6.901,1.42727,1.12575,0.64157,0.38583,0.80925,0,0,0,0,1,0,0,0,0,0
6.867,1.26637,1.28548,0.59625,0.32067,0.90943,0,0,0,0,0,0,0,0,0,1
6.853,1.36011,1.08182,0.63274,0.32524,0.76276,0,0,0,0,1,0,0,0,0,0
6.81,1.04424,1.25596,0.42908,0.11069,0.72052,0,0,0,1,0,0,0,0,0,0
6.798,1.52186,1.02,0.54252,0.4921,1.02525,0,0,0,0,0,0,1,0,0,0
6.786,1.06353,1.1985,0.5421,0.0927,0.79661,0,0,0,1,0,0,0,0,0,0
6.75,1.32792,1.29937,0.61477,0.21843,0.89186,0,0,0,0,0,0,0,0,0,1
6.67,1.10715,1.12447,0.44132,0.12869,0.85857,0,0,0,1,0,0,0,0,0,0
6.611,1.69042,1.0786,0.6404,0.52208,0.79733,0,0,0,0,1,0,0,0,0,0
6.575,1.27778,1.26038,0.55011,0.20646,0.94579,0,0,0,0,0,0,0,0,0,1
6.574,1.05351,1.24823,0.44974,0.08484,0.78723,0,0,0,1,0,0,0,0,0,0
6.505,1.17898,1.20643,0.46364,0.02652,0.84483,0,1,0,0,0,0,0,0,0,0
6.485,1.06166,1.2089,0.60362,0.24558,0.8116,0,0,0,1,0,0,0,0,0,0
6.477,0.91861,1.24018,0.53466,0.0512,0.69077,0,0,0,1,0,0,0,0,0,0
6.455,0.9669,1.26504,0.55664,0.03187,0.7385,0,0,0,0,0,0,1,0,0,0
